fixture_name,iters,time_ms_median,time_ms_min,time_ms_max,max_slack_vs_ln,nodes_compared,pass,all_times_ms
A1_chain_d3_N50,4,12,12,12,0.000043,60,true,12
A1_chain_d5_N20,4,13,13,13,0.000005,100,true,13
A1_chain_d5_N50,4,16,16,16,0.000043,100,true,16
A1_chain_d5_N100,4,32,32,32,0.000006,100,true,32
A1_chain_d8_N50,4,25,25,25,0.000101,160,true,25
A2_multiclassA_2refs_loadLow_N20,2,17,17,17,0.002362,65,true,17
A2_multiclassA_2refs_loadHigh_N20,2,10,10,10,0.000827,65,true,10
A2_multiclassA_2refs_loadLow_N50,2,3,3,3,0.008834,65,true,3
A2_multiclassA_2refs_loadHigh_N50,2,2,2,2,0.002792,65,true,2
A2_multiclassB_2refs_demands_3to1_N20,2,10,10,10,0.027154,65,true,10
A2_multiclassB_2refs_demands_5to1_N20,2,18,18,18,0.035557,65,true,18
A2_multiclassB_2refs_demands_3to1_N50,2,2,2,2,0.009364,65,true,2
A2_multiclassB_2refs_demands_5to1_N50,2,2,2,2,0.009912,65,true,2
A2_multiclassC_2refs_think_2to1_N20,2,8,8,8,0.014538,65,true,8
A2_multiclassC_2refs_think_4to1_N20,2,7,7,7,0.040825,65,true,7
A2_multiclassC_2refs_think_2to1_N50,2,2,2,2,0.008283,65,true,2
A2_multiclassC_2refs_think_4to1_N50,2,2,2,2,0.016165,65,true,2
A3_multiserver_c2_loadLow,3,1,1,1,0.007919,40,true,1
A3_multiserver_c2_loadMedium,4,1,1,1,0.000061,40,true,1
A3_multiserver_c2_loadHigh,4,1,1,1,0.000043,40,true,1
A3_multiserver_c4_loadLow,3,1,1,1,0.003206,40,true,1
A3_multiserver_c4_loadMedium,4,1,1,1,0.000029,40,true,1
A3_multiserver_c4_loadHigh,4,1,1,1,0.000025,40,true,1
A3_multiserver_c8_loadLow,4,1,1,1,0.000032,40,true,1
A3_multiserver_c8_loadMedium,4,1,1,1,0.000031,40,true,1
A3_multiserver_c8_loadHigh,4,1,1,1,0.000028,40,true,1
A4_threeTier_multiclass,5,6,6,6,0.015525,85,true,6
A4_multiclass_multiserver,2,3,3,3,0.111505,65,true,3
A4_multiclass_multientry,2,2,2,2,0.057472,90,true,2
A4_chainPlusFanout,9,7,7,7,0.892897,105,true,7
A4_webApplication,2,2,2,2,0.358173,85,true,2
A4_databaseBackend,4,2,2,2,0.000081,80,true,2
A4_threeTier_sequence,2,1,1,1,0.000000,0,true,1
A4_parallelService_andFork,2,1,1,1,0.000000,0,true,1
A4_retryLoop,4,2,2,2,0.000000,0,true,2
A4_replyThenLog,3,1,1,1,0.000000,0,true,1
A5_orForkUneven,4,1,1,1,0.000000,0,true,1
A5_orForkThreeWay,4,1,1,1,0.000000,0,true,1
A5_andForkThreeWay,2,1,1,1,0.000000,0,true,1
A5_andForkMultiAct,2,1,1,1,0.000000,0,true,1
A5_seqMultiEntry,4,1,1,1,0.000000,0,true,1
A5_replyAtBound,3,2,2,2,0.000000,0,true,2
A5_combinedDag,2,1,1,1,0.000000,0,true,1
A5_multiclassAndFork,2,1,1,1,0.000000,0,true,1
B_scaleAxis_tasks5_chain,4,3,3,3,0.000418,100,true,3
B_scaleAxis_tasks10_chain,4,7,7,7,0.003626,200,true,7
B_scaleAxis_tasks20_chain,4,20,20,20,0.089783,400,true,20
B_scaleAxis_tasks40_chain,4,63,63,63,0.044150,800,true,63
B_scaleAxis_tasks60_chain,4,133,133,133,0.063042,1200,true,133
B_scaleAxis_tasks5_fanout,8,4,4,4,2.410134,100,false,4
B_scaleAxis_tasks10_fanout,9,10,10,10,2.421164,200,false,10
B_scaleAxis_tasks20_fanout,8,23,23,23,1.108971,400,false,23
B_scaleAxis_tasks40_fanout,7,92,92,92,0.000000,0,true,92
B_scaleAxis_tasks60_fanout,6,241,241,241,0.000000,0,true,241
C1_fanOut2_caller_c1,7,2,2,2,0.390956,60,true,2
C1_fanOut2_caller_c2,7,2,2,2,0.390956,60,true,2
C1_fanOut3_caller_c1,8,8,8,8,0.347575,80,true,8
C1_fanOut3_caller_c2,8,2,2,2,0.347575,80,true,2
C1_fanOut4_caller_c1,8,2,2,2,0.308340,100,true,2
C1_fanOut4_caller_c2,8,2,2,2,0.308340,100,true,2
C2_infTaskSimple,2,0,0,0,0.000000,40,true,0
C2_infTaskShared,2,0,0,0,0.000000,65,true,0
C2_infTaskDeep,2,0,0,0,0.000001,80,true,0
C3_multiclassMultiEntry_2refs,2,1,1,1,0.035019,65,true,1
C3_multiclassMultiEntry_3refs,2,1,1,1,0.298966,90,true,1
C3_multiclassMultiEntry_asymmetric,2,1,1,1,0.062914,65,true,1
C4_nearSaturation,3,1,1,1,0.463438,40,true,1
C4_predicateThreshold,2,0,0,0,0.000000,40,true,0
C4_lowDemand,3,0,0,0,0.000002,40,true,0
C5_satFanout_tasks5,100,40,40,40,0.000000,0,true,40
C5_satFanout_tasks10,18,12,12,12,0.000000,0,true,12
C5_satFanout_tasks20,9,23,23,23,0.000000,0,true,23
C5_satFanoutCaller_w2,30,7,7,7,0.000000,0,true,7
C5_satFanoutCaller_w3,47,19,19,19,0.000000,0,true,19
C5_satFanoutCaller_w4,60,25,25,25,0.000000,0,true,25
C6_andForkPsHost,3,0,0,0,0.000000,0,true,0
C7_deepChainMultiCall,5,4,4,4,0.000000,0,true,4
C7_deepChainAllExp,3,3,3,3,0.000000,0,true,3
